Product Name,TiO2 Concentration (mg/kg),TiO2 on Ingredient List?,Category - Level 1,Category - Level 2,Category - Level 3,Source,Extra Information
Nabisco Chips Ahoy,6.57,No,Food,Bakery wares (07),Fine bakery wares (07.2),Weir et al. (2012),
Hostess Twinkies,3.42,No,Food,Bakery wares (07),Fine bakery wares (07.2),Weir et al. (2012),
Albertson's Golden Sandwich Cookies,1.33,No,Food,Bakery wares (07),Fine bakery wares (07.2),Weir et al. (2012),
-,863.39,Yes,Food,Bakery wares (07),Fine bakery wares (07.2),Bastardo-Fernandez et al. (2024),Pandoro
-,1.17,Yes,Food,Bakery wares (07),Fine bakery wares (07.2),Bastardo-Fernandez et al. (2024),Frosted stuffed bun
-,93,No,Food,Beverages (14),"Alcoholic beverages, including alcohol-free and low-alcohol counterparts (14.2)",Bucher et al. (2024),Sparkling wine with pearlescent glitter
-,20,No,Food,Beverages (14),"Alcoholic beverages, including alcohol-free and low-alcohol counterparts (14.2)",Bucher et al. (2024),Sparkling wine with pearlescent glitter
-,51,No,Food,Beverages (14),"Alcoholic beverages, including alcohol-free and low-alcohol counterparts (14.2)",Bucher et al. (2024),Sparkling wine with pearlescent glitter
-,51000,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),Abd- ElHamid et al. (2023),Juice powder
-,20000,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),Abd- ElHamid et al. (2023),Juice powder
-,16700,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),Abd- ElHamid et al. (2023),Juice powder
-,3600,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),Abd- ElHamid et al. (2023),Juice powder
-,35.6,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),Bucher et al. (2024),Bubble gum-flavoured syrup for drinks
-,65.4,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),Bucher et al. (2024),Coconut-flavoured syrup for drinks
-,63.7,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),Bucher et al. (2024),Cola-flavoured dehydrated drink powder
-,47.3,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),Bucher et al. (2024),White chocolate-flavoured syrup for drinks
-,4460,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),Bucher et al. (2024),Dehydrated drink (orange flavour)
-,8.8,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),Bucher et al. (2024),Powdered preparation for maracuja-flavoured drink
-,13000,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),da Silveira Estevao et al. (2023),Pineapple juice powder
-,9900,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),da Silveira Estevao et al. (2023),Tangerine juice powder
-,2100,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),da Silveira Estevao et al. (2023),Unsweetened lemon juice powder
-,1300,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),da Silveira Estevao et al. (2023),Strawberry juice powder
-,250,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),da Silveira Estevao et al. (2023),Orange juice powder
-,220,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),da Silveira Estevao et al. (2023),Grape juice powder
-,22.2,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),He et al. (2022),Solid beverage (yellow colour)
-,755,-,Food,Beverages (14),Non-alcoholic beverages (14.1),Sungur et al. (2020),Powder drink
Tang Orange,3203.96,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),Verleysen et al. (2022),Dehydrated drink powder
Kool Aid Blue Raspberry,2819.49,No,Food,Beverages (14),Non-alcoholic beverages (14.1),Weir et al. (2012),
Kool Aid Lemonade,940.94,No,Food,Beverages (14),Non-alcoholic beverages (14.1),Weir et al. (2012),
Lemon Lime Powerade,615.62,No,Food,Beverages (14),Non-alcoholic beverages (14.1),Weir et al. (2012),
White Cherry Powerade,303.64,No,Food,Beverages (14),Non-alcoholic beverages (14.1),Weir et al. (2012),
Orange Cream Sobe,256.93,No,Food,Beverages (14),Non-alcoholic beverages (14.1),Weir et al. (2012),
Pina Colada Sobe,148.82,No,Food,Beverages (14),Non-alcoholic beverages (14.1),Weir et al. (2012),
-,17,No,Food,Beverages (14),Non-alcoholic beverages (14.1),Bucher et al. (2024),Strawberry taste lemonade with copper glitter
-,11,No,Food,Beverages (14),Non-alcoholic beverages (14.1),Bucher et al. (2024),Mint taste lemonade with golden glitter
-,3263.18,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),Bastardo-Fernandez et al. (2024),Orange powdered drink
-,235.47,Yes,Food,Beverages (14),Non-alcoholic beverages (14.1),Bastardo-Fernandez et al. (2024),Lemon powdered drink
Fiber One Cereal,2.2,No,Food,Cereals and cereal products (06),Breakfast cereals (06.3),Weir et al. (2012),
General Mills Trix Cereal,1.97,No,Food,Cereals and cereal products (06),Breakfast cereals (06.3),Weir et al. (2012),
-,27500,Yes,Food,Confectionery (05),Chewing gum (05.3),Abd- ElHamid et al. (2023),
-,13000,Yes,Food,Confectionery (05),Chewing gum (05.3),Abd- ElHamid et al. (2023),
-,5800,Yes,Food,Confectionery (05),Chewing gum (05.3),Abd- ElHamid et al. (2023),
-,2553,Yes,Food,Confectionery (05),Chewing gum (05.3),Bucher et al. (2024),Sugar-coated chewing gum
-,220,Yes,Food,Confectionery (05),Chewing gum (05.3),Bucher et al. (2024),
-,250,Yes,Food,Confectionery (05),Chewing gum (05.3),Bucher et al. (2024),Bubble gum
-,4937.6,Yes,Food,Confectionery (05),Chewing gum (05.3),Bucher et al. (2024),
-,3880,Yes,Food,Confectionery (05),Chewing gum (05.3),Chen et al. (2013),
-,2320,Yes,Food,Confectionery (05),Chewing gum (05.3),Chen et al. (2013),
-,2090,Yes,Food,Confectionery (05),Chewing gum (05.3),Chen et al. (2013),
-,2020,Yes,Food,Confectionery (05),Chewing gum (05.3),Chen et al. (2013),
-,1750,Yes,Food,Confectionery (05),Chewing gum (05.3),Chen et al. (2013),
-,1510,Yes,Food,Confectionery (05),Chewing gum (05.3),Chen et al. (2013),
Stimorol Original,12100,Yes,Food,Confectionery (05),Chewing gum (05.3),Dudefoi et al. (2017),
Hollywood Fresh,2300,Yes,Food,Confectionery (05),Chewing gum (05.3),Dudefoi et al. (2017),
Freedent,980,Yes,Food,Confectionery (05),Chewing gum (05.3),Dudefoi et al. (2017),
Mentos Ice Crush,500,Yes,Food,Confectionery (05),Chewing gum (05.3),Dudefoi et al. (2017),
-,1500,Yes,Food,Confectionery (05),Chewing gum (05.3),da Silveira Estevao et al. (2023),Cinnamon chewing gum
-,7530,Yes,Food,Confectionery (05),Chewing gum (05.3),Fiordaliso et al. (2018),Mint-flavoured
-,7510,Yes,Food,Confectionery (05),Chewing gum (05.3),Fiordaliso et al. (2018),Mint-flavoured
-,7480,Yes,Food,Confectionery (05),Chewing gum (05.3),Fiordaliso et al. (2018),Mint-flavoured
-,2550,Yes,Food,Confectionery (05),Chewing gum (05.3),Fiordaliso et al. (2018),Mint-flavoured
-,1860,Yes,Food,Confectionery (05),Chewing gum (05.3),Fiordaliso et al. (2018),Mint-flavoured
-,1770,Yes,Food,Confectionery (05),Chewing gum (05.3),Fiordaliso et al. (2018),Strawberry-flavoured
-,250,Yes,Food,Confectionery (05),Chewing gum (05.3),Fiordaliso et al. (2018),Mint-flavoured
-,1336.8,Yes,Food,Confectionery (05),Chewing gum (05.3),He et al. (2022),Pale violet red colour
-,769.7,Yes,Food,Confectionery (05),Chewing gum (05.3),He et al. (2022),Light green colour
-,457.1,Yes,Food,Confectionery (05),Chewing gum (05.3),He et al. (2022),Green colour
-,394,Yes,Food,Confectionery (05),Chewing gum (05.3),He et al. (2022),Light yellow colour
-,3530,Yes,Food,Confectionery (05),Chewing gum (05.3),Hwang et al. (2019),
-,75.91,Yes,Food,Confectionery (05),Chewing gum (05.3),Kim et al. (2018),
-,40.37,Yes,Food,Confectionery (05),Chewing gum (05.3),Kim et al. (2018),
-,30.03,No,Food,Confectionery (05),Chewing gum (05.3),Kim et al. (2018),
-,20.35,Yes,Food,Confectionery (05),Chewing gum (05.3),Kim et al. (2018),
Mentos,3853.94,Yes,Food,Confectionery (05),Chewing gum (05.3),Periasamy et al. (2014),
Xl,3738.91,Yes,Food,Confectionery (05),Chewing gum (05.3),Periasamy et al. (2014),
Gandour,3575.93,Yes,Food,Confectionery (05),Chewing gum (05.3),Periasamy et al. (2014),
Batook,3384.2,Yes,Food,Confectionery (05),Chewing gum (05.3),Periasamy et al. (2014),
Extra,2991.12,Yes,Food,Confectionery (05),Chewing gum (05.3),Periasamy et al. (2014),
-,9009.03,-,Food,Confectionery (05),Chewing gum (05.3),Peters et al. (2014),
-,7525.12,-,Food,Confectionery (05),Chewing gum (05.3),Peters et al. (2014),
-,4962.76,-,Food,Confectionery (05),Chewing gum (05.3),Peters et al. (2014),
-,1808.13,-,Food,Confectionery (05),Chewing gum (05.3),Peters et al. (2014),
-,1161.5,-,Food,Confectionery (05),Chewing gum (05.3),Peters et al. (2014),
Trident White,836,Yes,Food,Confectionery (05),Chewing gum (05.3),Putra et al. (2022),
Orbit White Peppermint,21,No,Food,Confectionery (05),Chewing gum (05.3),Putra et al. (2022),
Trident Original ,20,No,Food,Confectionery (05),Chewing gum (05.3),Putra et al. (2022),
Boni Chewing Gum Spearmint Sugar Free,3423.15,Yes,Food,Confectionery (05),Chewing gum (05.3),Nkenda et al. (2023),
Orbit Peppermint,2878.92,Yes,Food,Confectionery (05),Chewing gum (05.3),Verleysen et al. (2022),
Vivident Cube Hi Fresh,18.7,Yes,Food,Confectionery (05),Chewing gum (05.3),Verleysen et al. (2022),
-,1057,-,Food,Confectionery (05),Chewing gum (05.3),Sungur et al. (2020),
-,775,-,Food,Confectionery (05),Chewing gum (05.3),Sungur et al. (2020),
-,468,-,Food,Confectionery (05),Chewing gum (05.3),Sungur et al. (2020),
-,195,-,Food,Confectionery (05),Chewing gum (05.3),Sungur et al. (2020),
Freedent Frozen Mint,2676.54,Yes,Food,Confectionery (05),Chewing gum (05.3),Verleysen et al. (2022),
Stimorol 60 Minutes,2524.2,Yes,Food,Confectionery (05),Chewing gum (05.3),Verleysen et al. (2022),
V6 Fresh Mint,1942.44,Yes,Food,Confectionery (05),Chewing gum (05.3),Verleysen et al. (2022),
Mentos Freshmint Gum,4404.41,Yes,Food,Confectionery (05),Chewing gum (05.3),Weir et al. (2012),
Eclipse Spearmint Gum,2736.07,Yes,Food,Confectionery (05),Chewing gum (05.3),Weir et al. (2012),
Trident White Peppermint Gum,1237.91,Yes,Food,Confectionery (05),Chewing gum (05.3),Weir et al. (2012),
Dentyne Ice Peppermint Gum,960.96,Yes,Food,Confectionery (05),Chewing gum (05.3),Weir et al. (2012),
Dentyne Fire Spicy Cinnamon,208.54,Yes,Food,Confectionery (05),Chewing gum (05.3),Weir et al. (2012),
-,6.7,Yes,Food,Confectionery (05),Chewing gum (05.3),He et al. (2022),White colour
Mentos Pure Fresh Gum,5121.8,Yes,Food,Confectionery (05),Chewing gum (05.3),Reed et al. (2015),
-,4.60,-,Food,Confectionery (05),Chewing gum (05.3),Cao et al. (2024),Gum-based candy
-,7.52,Yes,Food,Confectionery (05),Chewing gum (05.3),Bastardo-Fernandez et al. (2024),Chewing gum (white)
-,8100,Yes,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Abd- ElHamid et al. (2023),Chocolate substitute
-,8630,Yes,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Hwang et al. (2019),Chocolate  
-,6320,Yes,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Hwang et al. (2019),Chocolate  
-,50.72,No,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Kim et al. (2018),Chocolate product  
-,17.68,Yes,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Kim et al. (2018),Chocolate product  
-,4620,Yes,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Lim et al. (2018),Chocolate
Nestle White Chocolate Mini Eggs,450,Yes,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Lomer et al. (2000),
-,1668.34,-,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Peters et al. (2014),Chocolate  
-,992.55,-,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Peters et al. (2014),Chocolate  
-,9.38,-,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Sager (2010),Chocolate  
-,857,-,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Sungur et al. (2020),Gravel chocolate
Hershey's Special Dark Bar,8.41,No,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Weir et al. (2012),
Hershey's Bliss Dark Chocolate,7.46,No,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Weir et al. (2012),
Hershey's Bliss White Chocolate,6.31,No,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Weir et al. (2012),
Cadbury Milk Chocolate Bar,3.65,No,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Weir et al. (2012),
Hershey's Milk Chocolate Bar,3.34,No,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Weir et al. (2012),
Lindt Milk Chocolate,2.9,No,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Weir et al. (2012),
Lindt White Chocolate,2.5,No,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Weir et al. (2012),
Hershey's Cookies 'n Cream Bar,2.27,No,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Weir et al. (2012),
Mini Whoppers Eggs,2.15,No,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Weir et al. (2012),
-,4680,-,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Cao et al. (2024),"Cocoa products, chocolate, and chocolate products (not specified which subcategory the product belongs to)"
-,272.21,Yes,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Bastardo-Fernandez et al. (2024),Golden dark chocolate
-,197.06,Yes,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Bastardo-Fernandez et al. (2024),Engraved chocolates
-,1,Yes,Food,Confectionery (05),Cocoa and chocolate products as covered by Directive 2000/36/EC (05.1),Bastardo-Fernandez et al. (2024),Stuffed white chocolate
-,6436,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Cupcake icing (white colour)
-,44.5,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Liquor chocolate with signature containing E171
-,90,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Red creamy icing for cake decoration
-,5.9,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Silver-coated sugar balls
-,8.7,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Decorative chocolate plate with signature containing E171
-,3314.5,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Decorative chocolate plate with signature containing E171
-,586.7,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),White ready-to-roll sugar paste icing
-,6254.7,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),White ready-to-roll sugar paste icing
-,97,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Golden-coated sugar stars
-,3510,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Marshmallow cream 
-,23.2,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Pearly crispy pearls
-,103.1,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Lemon curd for lemon cake
-,15.4,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Silver cake icing
-,2.5,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Football-themed decorations 
-,6695.4,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),White ready-to-roll sugar paste icing 
-,2840.6,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),White icing for cake decoration
-,2.9,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Shiny decorative sugar stars
-,317,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Golden cake icing
-,322,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Silver cake icing
-,4100,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),White cake icing
-,4360,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Silver glitter
-,2280,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Multicolour decorations
-,10760,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Fantasy cake decoration
-,4180,No,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Fantasy cake decoration
-,408,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Frosting chocolate and vanilla
-,42,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Silver sparkling sugar-coated cake decorations with chocolate 
-,991,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Frosting strawberry and vanilla
-,3624,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Multicoloured sugar-coated cake decorations with chocolate
-,3610,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Sugar paste rose gold
-,11440,No,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Sugar paste gold and vanilla flavour
-,770,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),"Decorative candy mix (white stars, shiny white and multicolored balls)"
-,2210,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),"Mix of decorative candies (white blue sprinkles, white, silver, golden, blue balls)"
-,460,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Sweet decor balls and pastel multicolored shapes including pink and white
-,684,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),"Mix of decorative candies (balls, hearts, pucks - pink and purple)"
-,1820,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),"Mix of decorative candies (sprinkles, stars, marbles - white, gold, silver)"
-,820,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Unicorn decoration kit for cakes
-,19130,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Sugar paste silver
-,348.2,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Sprinkles
-,179.2,No,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Silver-coated sugar balls
-,3912,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Bucher et al. (2024),Silver sugar stars
-,1261.26,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Clayton-Cuch (2023),Decorative 'gold dust' spray
-,950,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",da Silveira Estevao et al. (2023),Dulce de lece
-,300.6,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",He et al. (2022),Rainbow sugar (yellow colour)
-,170.5,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",He et al. (2022),Rainbow sugar (yellow colour)
-,3.2,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",He et al. (2022),Rainbow sugar (tan colour)
Supercook Icing,1830,Yes,Food,Confectionery (05),"Decorations, coatings and fillings, except fruit-based fillings covered by category 4.2.4 (05.4)",Lomer et al. (2000),
